Airport;lat;lng
FORDE/SENTRALSJUKEHUSET airport;61.464;5.419
FAGERNES/LEIRIN airport;60.9856;9.3517
FEDJE airport;60.7719;4.7214
FLORO airport;61.5833;5.0167
GULLKNAPP airport;58.8892;8.7303
OSLO/GARDERMOEN airport;60.1939;11.1005
HAMAR/STAFSBERG airport;60.8033;11.0233
HAUGESUND/KARMOY airport;59.3458;5.2075
HAMMERFEST airport;70.6797;23.6669
HASVIK airport;70.4725;22.1481
HORNMOEN airport;60.9572;11.7589
HATTFJELLDAL/VOLLEN airport;65.5911;13.7933
HONNINGSVAG/VALAN airport;71.0967;25.9867
ISFJORD airport;65.8617;13.1672
JAN MAYEN airport;70.9333;8.7001
JARLSBERG airport;59.3061;10.3269
KRISTIANSUND/KVERNBERGET airport;63.1114;7.8228
KJELLER airport;59.9575;11.0375
KIRKENES/HOYBUKTMOEN airport;69.7258;29.8867
FARSUND/LISTA airport;58.1172;6.6214
LEKNES airport;68.1561;13.6169
LUNDE airport;58.2167;6.6333
MEHAMN airport;71.0333;27.7667
MOLDE/ARO airport;62.7486;7.2625
MOSJOEN/KJAERSTAD airport;65.7725;13.2081
LAKSELV/BANAK airport;70.0667;24.9667
NARVIK/FRAMNES airport;68.4356;17.4267
NAMSOS airport;64.4842;11.5819
NOTODDEN/TUVEN airport;59.5667;9.2667
OSEBERG A airport;60.4735;2.4674
ORLAND airport;63.6975;9.6175
OPPDAL/FAGERHAUG airport;62.5975;9.7042
ORSTA-VOLDA/HOVDEN airport;62.179;6.0717
AASEGARDEN airport;60.4578;11.1342
TANA BRU (TANA BRIDGE) airport;70.1983;28.2325
HAMMERFEST, FUGLENES airport;70.6725;23.6828
REGIONSYKEHUSET TC airport;60.4289;8.4217
MO I RANA/ROSSVOLL airport;66.3072;14.1528
ROGNAN airport;67.0833;15.4
RAKKESTAD airport;59.3514;11.2356
RORVIK/RYUM airport;64.8456;11.1444
ROROS airport;62.5833;11.3333
ROST airport;67.5317;12.1106
MOSS/RYGGE airport;59.3783;10.7917
